topic,title,text
Keamanan Publik,Satlantas Polres Banggai Gencar Sosialisasikan Kamseltibcarlantas di Kota Luwuk untuk Tingkatkan Kesadaran Berlalu Lintas,"KABAR LUWUK –Satlantas Polres Banggaigencar sosialisasikanKamseltibcarlantasdiKota Luwukuntuk Tingkatkan Kesadaran Berlalu Lintas. Satuan Lalu Lintas (Satlantas) Polres Banggai terus berupaya meningkatkan kesadaran masyarakat terhadap pentingnya mematuhi peraturan berlalu lintas.Dengan melibatkanPenerangan Keliling (Penling), mereka melakukan sosialisasiKamseltibcarlantasdi beberapa titik strategis di Kota Luwuk pada Jumat (19/1/2024).AKP I Made Bagus Aditya, Kasat Lantas Polres Banggai,mengungkapkan bahwa kegiatan sosialisasi dan edukasi dilakukan secara masif di pinggiran jalan raya, tempat berkumpulnya masyarakat, pangkalan ojek, dan bahkan kepada sopir angkot.Tujuan utamanya adalah mengingatkan masyarakat akan pentingnya patuh terhadap peraturan lalu lintas demi keamanan bersama.“Sosialisasi dan edukasi tersebut dilakukan di beberapa titik. Seperti di pinggiran jalan raya, tempat berkumpulnya masyarakat, pangkalan ojek serta sopir angkot,” ujar AKP I Made Bagus Aditya.Menurut Aditya, dengan melibatkan berbagai tempat yang sering dikunjungi oleh masyarakat, diharapkan pesan keselamatan berlalu lintas dapat lebih mudah disampaikan dan diterima oleh semua pihak.Sosialisasi ini diharapkan tidak hanya menjadi kegiatan rutin, tetapi juga dapat menciptakan kesadaran hukum yang lebih baik di kalangan masyarakat.“Diharapkan dengan masif dilakukan kegiatan seperti ini bisa menumbuhkan kesadaran hukum masyarakat dalam berlalu lintas,” tambahnya.Upaya Satlantas Polres Banggai ini sejalan dengan visi pemerintah dalam menciptakan ketertiban berlalu lintas dan keselamatan bagi semua pengguna jalan.Kegiatan sosialisasi yang merata di berbagai lapisan masyarakat diharapkan dapat menjadi langkah positif dalam mengurangi pelanggaran lalu lintas dan kecelakaan jalan raya.**"
Layanan Publik,"Haru, Jenazah Briptu Anumerta Alfando yang Gugur Ditembak KKB Dilepas Menuju Luwuk","TIMIKA, iNews.id- Kepala Operasi (Kaops) Damai Cartenz Kombes Pol dr Faizal Ramadhani memimpinupacara pelepasan jenazahBriptu Anumerta Alfando Steve Karamoy. AnggotaOperasi Damai Cartenz2024 dari Peleton III Kompi IV Yon C Resimen I Paspelopor Korbrimob Polri tersebutgugurdalamkontak tembakKelompok Kriminal Bersenjata (KKB) diIntan Jaya, Papua TengahPantauan iNews, suasana haru tampak menyelimuti upacara yang digelar di Bandara Mozes Kilangin Timika, Kabupaten Mimika, Sabtu (20/1/2024) pagi. Sejumlah pejabat hadir dalam penjemputan jenazah seperti Wakaops Damai Cartenz Kombes Pol Ronny Suseno, Danmen I Pelopor Pasbrimob III Kombes Pol Danu Windarto serta sejumlah perwira lainnya.Baca JugaKapolri Berduka Bripda Alfandi Steve Gugur Ditembak KKB: Semoga Mendapat Tempat TerbaikKasatgas Humas Ops Damai Cartenz AKBP dr Bayu Suseno mengatakan, jenazah Briptu Anumerta Alfando Steve Karamoy diterbangkan menggunakan pesawat Smart Air PK-SNP dari Bandara Bilorai Sugapa, Kabupaten Intan Jaya menuju Timika.""Jenazah selanjutnya diterbangkan menujuLuwuk, Banggai, Sulawesi Tengah setelah dilaksanakan upacara pelepasan,"" ujar Bayu, Sabtu (20/1/2024).Baca JugaGugur Diserang KKB, Bripda Alfandi Steve Karamoy Tertembak di Rahang Kiri Tembus KananSementara Kaops Damai Cartenz menyampaikan rasa duka cita yang mendalam atas kehilangan salah satu putra terbaik bangsa dalam menjalankan tugasnya.""Kami merasakan kehilangan yang besar atas gugurnya saudara kita Briptu Anumerta Alfando Steve Karamoy. Semoga keluarga yang ditinggalkan diberi ketabahan,"" katanya.Baca JugaTerungkap Penyerang Brimob hingga Gugur di Intan Jaya, KKB Pimpinan Apen KobogauEditor : Donald Karouw"
Layanan Publik,"Dimakamkan di Kampung Halaman, Jenazah Briptu Afandi Diterbangkan ke Luwuk Sultra","jpnn.com , INTAN JAYA - Jenazah Briptu (anumerta) Alfandi Steve Karamoy anggota Peleton III Kompi IV Yon C resimen I Pasplopor Korbrimob Polri yang tewas ditembak KKB diterbangkan ke kampung halamannya, Sabtu (20/1) siang. Kasatgas Humas Ops Damai Cartenz, AKBP Bayu Suseno mengatakan jenazah almarhum sudah dievakuasi dari Intan Jaya. ""Jenazah diterbangkan menggunakan pesawat Smar-Air PK-SNP dari Bandara Bilorai Sugapa dan telah tiba di Timika pagi tadi,"" ujar Bayu. Setelah tiba di Timika, kata Bayu, jenazah korban kemudian diterbangkan ke kampung halamannya di Luwuk Banggai, Sulawesi Tenggara. ""Jenazah almarhum sudah diterbangkan setelah melalui proses ucapan pelepasan,"" ujarnya. Sementara itu Kaops Damai Cartenz Kombes Faizal Ramadhani menyampaikan rasa duka cita yang mendalam atas kehilangan salah satu putra terbaik bangsa dalam menjalankan tugasnya. ""Kami merasakan kehilangan yang besar atas gugurnya saudara kita, Briptu Anumerta Alfando Steve Karamoy. Semoga keluarga yang ditinggalkan diberi ketabahan,"" ucapnya. Kombes Faizal mengatakan saat inib pihaknya masih melakukan penyisiran terhadap pergerakan KKB di Wilayah Intan Jaya. ""Upaya pencarian terhadap Kelompok Kriminal Bersenjata tersebut akan dijalankan secara maksimal, dan mereka akan dihadapkan pada proses hukum sesuai peraturan yang berlaku. ""Saat ini, pasukan kami masih melakukan pengejaran dan penyisiran di sekitar Tempat Kejadian Perkara (TKP),"" bebernya. (mcr30/jpnn)"
Keamanan Publik,"Melalui Penling, Satlantas Polres Banggai Masifkan Sosialisasi Kamseltibcar","Polresbanggai.com– Satlantaspolres banggaimasif mensosialisasikan Kamseltibcarlantas kepada masyarakat maupun pengguna jalan di Kotaluwukmelalui Penerangan Keliling (Penling), Jumat (19/1/2024).Hal itu dilakukan untuk mengingatkan masyarakat tentang pentingnya mematuhi peraturan berlalu lintas di jalan demi keselamatan bersama.“Sosialisasi dan edukasi tersebut dilakukan di beberapa titik. Seperti di pinggiran jalan raya, tempat berkumpulnya masyarakat, pangkalan ojek serta sopir angkot,” ungkap Kasat Lantas AKP I Made Bagus Aditya.Ia menjelaskan, dengan adanya sosialisasi yang masif dilakukan ke depan warga masyarakat, diharapkan masyarakat lebih tertib dalam berkendara.“Diharapkan dengan masif dilakukan kegiatan seperti ini bisa menumbuhkan kesadaran hukum masyarakat dalam berlalu lintas,” harapnya"
Layanan Publik,Kapolres Banggai Pimpin Nobar Pameran Lukisan dan Pentas Musik Jogja Asik,"Polresbanggai.com–kapolres banggaiAKBP Ade Nuramdani didampingi Kabagops dan seluruh PJU serta Personelpolres banggaigelar Nonton Bareng pameran lukisan dan pentas musik dalam tajuk Peace and Harmony, Jogja Asyik, Jogja Bermusik untuk Indonesia Apik, Jumat (19/1/2024) malam.Kegiatan nonton bareng di gelar serentak diseluruh jajaran Kepolisian Negara Republik Indonesia, sebagai upaya mendukung kelestarian seni yang ada di indonesia.Dalam gelaran terdapat berbagai rangkaian acara seperti Pameran Seni Rupa di Museum Benteng Vredeburg dan pergelaran musik yang diisi oleh artis-artis seperti Ndarboy Genk, Orkes Sinten Remen, Landung Simatupang, dan Trie Utami.Dalam acara ini juga, dilakukan launching lagu berjudul “Polisi Jagoanku” karya Ndarboy, yang liriknya ditulis oleh Butet Kartaredjasa. Lagu tersebut dinyanyikan untuk mengiringi polisi dan masyarakat yang berjoget bersama.“Selain melestarikan, kegiatan ini juga bertujuan untuk semakin mendekatkan Polri dengan seluruh masyarakat dengan menyajikan hiburan rakyat secara gratis,” ujar Kapolres Banggai.“Bertempat di Jogjakarta, kegiatan tersebut disaksikan secara virtual termasuk oleh seluruh jajaran Polres Banggai. Moment tersebut juga menjadi sarana menguatkakan soliditas Personel,” tutup AKBP Ade"
Layanan Publik,Personil Ops Damai Cartenz yang Gugur diterbangkan ke Luwuk,"Kota Palu (ANTARA) - Jenazah Briptu Anumerta Alfando Steve Karamoy, Personil Operasi Damai Cartenz-2024 yang gugur akibat terkena tembakan Kelompok Kriminal Bersenjata (KKB) di Intan Jaya diterbangkan ke Kampung Halaman di Luwuk, Kabupaten Banggai, Sulawesi Tengah, Sabtu 20/01. Upacara Pelepasan Jenazah dipimpin langsung oleh Kepala Operasi Damai Cartenz (Kaops Damai Cartenz), Kombes Pol Dr Faizal Ramadhani. Suasana haru tampak menyelimuti upacara yang digelar di Bandara Mozes Kilangin Timika. Dalam penjemputan jenazah, hadir sejumlah pejabat seperti, Wakaops Ops Damai Cartenz Kombes Pol Ronny Suseno, Danmen I Pelopor Pasbrimob III Kombes Pol Danu Windarto, serta sejumlah perwira lainnya. Kasatgas Humas Ops Damai Cartenz, AKBP Dr. Bayu Suseno SH MH MM, menjelaskan bahwa jenazah Briptu Anumerta Alfando Steve Karamoy diterbangkan menggunakan pesawat Smar-Air PK-SNP dari Bandara Bilorai Sugapa, Kabupaten Intan Jaya, menuju Timika. ""Jenazah kemudian diterbangkan menuju Luwuk Banggai Sulawesi Tengah, setelah dilaksanakan upacara pelepasan yang dipimpin langsung oleh Kaops Damai Cartenz,"" ungkapnya. Dalam sambutannya, Kaops Damai Cartenz Kombes Pol Dr Faizal Ramadhani menyampaikan rasa duka cita yang mendalam atas kehilangan salah satu putra terbaik bangsa dalam menjalankan tugasnya. ""Kami merasakan kehilangan yang besar atas gugurnya saudara kita, Briptu Anumerta Alfando Steve Karamoy. Semoga keluarga yang ditinggalkan diberi ketabahan,"" ucapnya. Untuk diketahui, aksi tersebut dilakukan di Kabupaten Intan Jaya pimpinan Apen Kobogau (Wakil Pangkodap VIII). Serangan dari KKB diduga berasal dari belakang Tower BTS Telkomsel, Kampung Bilogai, Distrik Sugapa, Kabupaten Intan Jaya yang mengakibatkan satu personel Operasi Damai Cartenz terkena tembakan. Kasatgas Humas Ops Damai Cartenz AKBP Dr. Bayu Suseno SH MH MM menerangkan bahwa personel Ops Damai Cartenz yang berada di wilayah tersebut mengalami serangan dari KKB selama 30 menit dari arah belakang pos. ""Saat ini, kami masih melakukan penyisiran terhadap pergerakan KKB di Wilayah Intan Jaya,"" ujar Bayu Suseno. Dalam pernyataannya, Kaops Damai Cartenz, Kombes Pol Dr Faizal Ramadhani, menekankan bahwa upaya pencarian terhadap Kelompok Kriminal Bersenjata tersebut akan dijalankan secara maksimal, dan mereka akan dihadapkan pada proses hukum sesuai peraturan yang berlaku. ""Saat ini, pasukan kami masih melakukan pengejaran dan penyisiran di sekitar Tempat Kejadian Perkara (TKP),"" pungkas Faizal."
Keamanan Publik,Polisi Limpahkan Kasus Penusukan Pakai Sendok Makan di Luwuk,"BANGGAI RAYA- Unit III Satreskrim Polres Banggai pada Kamis (25/1/2024) pukul 11.30 Wita, menyerahkan tersangka dan Barang Bukti (Tahap II) tindak pidana penganiayaan ke Kajari Banggai.Sebelumnya tersangka di tahan atas tindak pidana Penganiayaan sebagaimana diatur dalam Pasal 351 ayat (1) KUHP terhadap saudara Laudry Nawali, sebagaimana laporan Polisi, Nomor: LP/B/663/XI/2023/SPKT/Res-Bgi/Polda Sulteng, tanggal 21 November 2023.BACA JUGA:Selamat! Aksabul dan Rahayu Terpilih Ketua ADIB’s Ponpes Daarul Hikmah LuwukPenyerahan tersangka dan barang bukti ini diterima Jaksa Hendra Poltak, MH, setelah berkas perkaranya dinyatakan lengkap (P21).Terkait kronologi kejadian, Kasat Reskrim Polres Banggai AKP Tio Tondy mengatakan pada Kamis (16/11/2023) sekitar pukul 02.30 Wita/dini hari, telah terjadi tindak pidana penganiayaan yang dilakukan oleh tersangka inisial WW (28) warga Jalan P. Kalimantan Kelurahan Kompo, Luwuk Selatan.BACA JUGA:TKP di Karaton Luwuk, Tipu Korban Puluhan Juta, Petani di Taliabo Diringkus PolisiBertempat di depan SDN 08 Luwuk kepada korban, dengan menggunakan satu buah sendok makan.BACA JUGA:Maju Caleg DPRD Banggai, Ini Komitmen Silvia Lakoro Pengusaha Percetakan Kay Art“Tersangka menusuk sebanyak 1 kali ke arah pinggang atas sebelah kiri pada tubuh korban,” ujarnya.Saat ini, tersangka WW beserta barang bukti kasus tindak penganiayaan telah diserahkan ke Kejari Banggai untuk selanjutnya menjalani proses persidangan. (*)"
Keamanan Publik,"Maju Caleg DPRD Banggai, Ini Komitmen Silvia Lakoro Pengusaha Percetakan Kay Art","BANGGAI RAYA –Maju menjadi Caleg dari Partai Golkar nomor urut sembilan adalah murni panggilan hati Silvia Lakoro biasa disapa Sil, yang kemudian dirinya mendapatkan support oleh pengurus Dewan Partai Golkar. Dari sinilah Sil bertekad mendaftarkan diri ke KPUD untuk ikut bertarung di Pileg 2024 mendatang.Sil yang belum mengerti berpolitik tiba-tiba tergerak untuk maju dalam Pencaleg-an tak lain karena dorongan hati yang sangat kuat untuk bisa menjembatani aspirasi perempuan.BACA JUGA:TKP di Karaton Luwuk, Tipu Korban Puluhan Juta, Petani di Taliabo Diringkus Polisi“Semoga tetap menjalankan amanah, menjaga kesetiaan apabila saya dipercaya masyarakat dan menghantar saya duduk di kursi Parlemen nantinya,” harapnyaIa mengatakan masih banyak hak kaum hawa yang harus diperjuangkan hingga saat ini.Untuk membela hak perempuan, seseorang itu perlu pendidikan yang baik, berwawasan.Sekaligus akan memberikan pendidikan kepada masyarakat.BACA JUGA:Selamat! Aksabul dan Rahayu Terpilih Ketua ADIB’s Ponpes Daarul Hikmah Luwuk“Maka dari itu saya yang berangkat dari seorang ibu rumah tangga yang hanya mengelola usaha percetakan Kay Art masih sangatlah butuh belajar dari ibu ibu politisi yang sudah menduduki kursi Parlemen yg begitu sangat luar biasa,” katanya.Sil berharap ke depan makin banyak lagi Perempuan Indonesia khususnya di Kabupaten Banggai bisa maju di parlemen untuk memperjuangkan hak-hak kaum perempuan yang saat ini masih banyak yang termajinalkan.BACA JUGA:Bawaslu Banggai Ingatkan Aparat Desa Netral, Laporkan Jika Dugaan Pelanggaran“Para perempuan politisi kita bisa cerdas berpolitik jika tidak hanya dijadikan obyek untuk mendapatkan suara, tapi justru harus bisa menjadi pelaku dalam pesta demokrasi. Saya siap berjuang bersama perempuan di Pemilu 2024 di dapil1 dan DPRD Kabupaten Banggai,” pungkasnya.AGK"
Keamanan Publik,"Distribusi Logistik Pemilu di Banggai Mulai 5 Februari, Pagimana Sasaran Pertama","BANGGAI RAYA-KPU Banggai tengah melakukan proses pengesetan dan pengepakan logistik pemilu 2024 untuk selanjutnya didistribusikan ke kecamatan.Divisi Sosialisasi KPU Banggai Mahmud kepada media ini Minggu malam (28/1/2024) mengatakan, setelah proses pengesetan dan pengepakan selesai, langkah selanjutnya adalah mendistribusikan ke kecamatan.Berdasarkan rencana kata dia, proses distribusi akan dimulai pada 5 Februari 2024 ditandai pelepasan kendaraan pengangkut logistik secara simbolis. Pelepasan perdana itu direncanakan dihadiri langsung Forkopimda Banggai dan Bawaslu. “Sasaran perdana pendistribusian logistik adalah Kecamatan Pagimana. Setelah sampai di Pagimana, nantinya akan diatur jadwal pengantaran logistik ke TPS terjauh yakni di Desa Baloa Doda, yang memang harus diantar dengan berjalan kaki sekira 2 hari,” ujarnya.BACA JUGA:Polisi Limpahkan Kasus Penusukan Pakai Sendok Makan di LuwukBACA JUGA:Warga Berhasil Gagalkan Aksi Curanmor di Puge Bukit Mambual, Pelaku Lari ke Hutan Saat DikejarMenurut dia, seluruh logistik sudah harus ada di TPS pada H-1 Pemilu yakni tanggal 13 Februari, sehingga saat hari pemungutan suara pada 14 Februari, semuanya sudah siap.Sebelumnya, Kabag Ops Polres Banggai Iptu Esti Prastiyo mengatakan bahwa kepolisian akan melakukan pengawalan proses distribusi logistik pemilu hingga ke TPS. Proses pendistribusian mulai 5 Februari itu kata dia, juga jadi perhatian kepolisian, guna memastikan kelancaran dan keamanan seluruh logistik pemilu sampai tiba di TPS. “Kami terus berkoordinasi dengan KPU Banggai terkait pemilu, terutama menyangkut logistik,” kata Kabag Ops. DARBACA JUGA:Maju Caleg DPRD Banggai, Ini Komitmen Silvia Lakoro Pengusaha Percetakan Kay Art"
Keamanan Publik,"TKP di Karaton Luwuk, Tipu Korban Puluhan Juta, Petani di Taliabo Diringkus Polisi","BANGGAI RAYA- Sempat melarikan diri, seorang petani inisial BR alias Dragon (28) warga Desa Bangahu Kecamatan Taliabo Barat Kabupaten Pulau Taliabo, Maluku Utara, ditangkap polisi karena diduga kasus penipuan.Kasatreskrim Polres Banggai, AKP Tio Tondy menyampaikan, kronologis pelaku ditangkap atas laporan polisi korban Yusna Soamole (34) warga Desa Bobong, Taliabu.“Kejadiannya di kios adik korban di Kelurahan Karaton, Luwuk,” ungkapnya.BACA JUGA:Bawaslu Banggai Identifikasi Dugaan Mobilisasi ASN, Keberpihakan Kades dan Politik Uang di PemiluBermula pada Kamis (28/12/2023) sekitar jam 14.30 Wita, saat itu korban bersama dengan suaminya Joko Teguh ditawarkan oleh pelaku, dua unit sepeda motor masing-masing Yamaha Fino Rp4 Juta dan Honda CRF Rp15 Juta.Akhirnya korban menyerahkan uang sebesar Rp22 Juta.Setelah itu pelaku langsung pergi dengan alasan ingin mengurus surat-surat kendaraan sembari berjanji bahwa pihak dealer akan mengantarkan kedua unit motor tersebut.BACA JUGA:Dihadiri Ratusan Warga, Kabagops Polres Banggai Pimpin Apel Pengamanan Kampanye di Nambo“Namun motor yang dijanjikan tidak ada dan pelaku juga sudah tidak bisa dihubungi,” ungkapnya.Berdasarkan hasil penyelidikan, dari laporan polisi korban. Selanjutnya, Tim Resmob Tompotika Sat Reskrim Polres Banggai langsung melakukan penyelidikan sehingga pelaku terpantau berada di wilayah Provinsi Sulawesi Tenggara.Hasil penyelidikan di lapangan didapat informasi dapat dipercaya tentang keberadaan pelaku dan langsung melakukan penangkapan tanpa perlawanan.BACA JUGA:Bawaslu Banggai Ingatkan Aparat Desa Netral, Laporkan Jika Dugaan Pelanggaran“Dengan kerjasama dan koordinasi dengan Resmob Polda Sultra, berhasil mengamankan pelaku di kosnya,” ujarnya.Lanjut Kasat, bahwa pada Rabu (24/1) tim Resmob Polres Banggai langsung bertolak menjemput pelaku di Posko Resmob Polda Sultra.“Kamis (25/1) sekitar pukul 23.00 Wita, pelaku tiba di Mapolres Banggai, untuk dilakukan pemeriksaan lebih lanjut,” pungkas AKP Tio. (*)"
Keamanan Publik,"Bawaslu Banggai Ingatkan Aparat Desa Netral, Laporkan Jika Dugaan Pelanggaran","BANGGAI RAYA-Badan Pengawas Pemilihan Umum (Bawaslu) Kabupaten Banggai mengingatkan kepada Personil TNI, Polri dan Kepala Desa, Aparat Desa serta anggota Badan Permusyawaratan Desa (BPD) harus Netral pada tahapan-tahapan Pemilu 2024.Sesuai Undang-Undang Nomor 7 Tahun 2017 Pasal 494, Pasal 280 ayat (2), dan ayat (3).Apabila masyarakat mendapatkan hal tersebut, segera laporkan ke Bawaslu Banggai jika terjadi dugaan pelanggaran ke alamat Jalan DR. Sutomo (Dahlia) nomor 18, Kelurahan Luwuk, Kecamatan Luwuk.BACA JUGA:Moh Hadiwiyono, Alumni Magang Jepang Nyaleg DPRD BanggaiHal itu sesuai dengan baliho ukuran besar milik Bawaslu Banggai yang terpajang di Jalan Ahmad Yani, Luwuk atau depan Kantor Telkom Luwuk.Untuk diketahui, Pasal 494 dijelaskan bahwa setiap aparatur sipil negara, anggota TNI dan Polri, kepala desa, perangkat desa, dan atau anggota Badan Permusyawaratan Desa (BPD) yang melanggar larangan, sebagaimana dimaksud Pasal 280 ayat (3), dipidanakan dengan pidana kurungan paling lama 1 tahun, dan denda paling banyak Rp12 juta.BACA JUGA:Curi HP di Lumpoknyo Luwuk, Pemuda Ini Akhirnya Ditangkap PolisiAdapun Pasal 280 ayat (2), disebutkan bahwa perangkat desa termasuk ke dalam pihak yang dilarang diikutsertakan oleh pelaksana dan atau tim kampanye dalam kegiatan kampanye Pemilu.BACA JUGA:Putri Amalia, Mahasiswi Cantik AMIK Luwuk Finalis Puteri Indonesia 2024 Wakili SultengSelain tidak diikutsertakan dalam kampanye perangkat desa. Sebagaimana dijelaskan dalamn ayat (3) juga dilarang menjadi pelaksana dan tim kampanye Pemilu. RUM"
Keamanan Publik,Kapolres Banggai cek gudang logistik KPU,"Banggai (ANTARA) - Kepala Kepolisian Resor (Kapolres) Banggai, Polda Sulawesi Tengah, AKBP Ade Nuramdani, mengecek secara langsung gudang logistik KPU Kabupaten Banggai untuk memastikan soal keamanan dan kesiapan menjelang Pemilu 2024. ""Kegiatan ini dilakukan guna memastikan kelengkapan dan kesiapan logistik menjelang pelaksanaan pemilihan umum,"" kata Ade Nuramdani di Kabupaten Banggai, Sulteng, Senin. Dalam kesempatan itu, Kapolres Ade mengecek dan memonitoring langsung terhadap proses pengepakan kotak suara dan logistik pemilu, serta keamanan gudang logistik KPU di Kompleks Bukit Halimun Kelurahan Maahas, Luwuk Selatan. Ia mengatakan bahwa menjelang H-14 menuju tahap pemungutan suara (voting day), penjagaan gudang logistik secara ketat merupakan bagian dari pengamanan yang harus dilakukan oleh Polri dalam tahapan Pemilu 2024. Karena itu, pengecekan dilakukan untuk memantau sejauh mana kesiapan penyelenggara pemilu serta tahapan yang sudah berjalan dalam penyelenggaraan Pemilu 2024 agar pelaksanaan pemilu di wilayah Kabupaten Banggai dapat berjalan dengan baik, aman dan lancar. ""Pengecekan ini merupakan salah satu upaya keamanan yang dilakukan polres untuk memastikan tidak adanya gangguan pada pelaksanaan tahapan pemilu. Polres Banggai siap memberi jaminan keamanan melalui kegiatan pengamanan objek vital,"" katanya. Pihaknya akan terus melakukan patroli dan mengoptimalkan pengawasan untuk memastikan keamanan barang logistik pemilu yang ada di gudang logistik KPU Banggai. Dalam kesempatan itu juga, Kapolres Ade mengingatkan personel pengamanan gudang logistik KPU Banggai untuk tetap meningkatkan kewaspadaan di gudang dan sekitarnya. ""Laksanakan tugas dengan baik, cermat dan profesional. Jangan lengah, lakukan dengan penuh tanggung jawab,” katanya. Ia juga menyampaikan kepada pihak KPU Banggai agar menghubungi petugas kepolisian yang bertugas apabila ada yang perlu untuk dikoordinasikan sehingga sinergi terus terjalin baik selama berjalannya tahapan hingga pelaksanaan Pemilu 2024. Kapolres berharap agar semua pihak terlibat dapat bekerja sama untuk memastikan proses demokrasi berlangsung dengan aman, adil, dan teratur, mengingat pelaksanaan pemilu serentak kurang dari sebulan lagi. Pewarta: Nur Amalia Amir Editor: Tasrief Tarmizi Copyright © ANTARA 2024"
